#c
  788.3585 2 1
  802.6619 4 1
  828.4982 6 1
  865.8389 8 1
  914.6720 10 1
  974.9877 12 1
 1046.7751 14 1
 1130.0224 16 1
 1224.7156 18 1
 1330.8394 20 1
 1448.3763 22 1
 1577.3074 24 1
 1717.6117 26 1
 1869.2663 28 1
 2032.2467 30 1
 2206.5265 32 1
 2392.0773 34 1
 2588.8689 36 1
 2796.8695 38 1
 3016.0452 40 1
 3246.3604 42 1
 3487.7775 44 1
 3740.2572 46 1
 4003.7585 48 1
 4278.2383 50 1
 4563.6519 52 1
 4859.9526 54 1
 5167.0921 56 1
 5485.0200 58 1
 5813.6844 60 1
 2344.7117 2 1
 2358.8585 4 1
 2384.4108 6 1
 2421.3406 8 1
 2469.6362 10 1
 2529.2879 12 1
 2600.2848 14 1
 2682.6150 16 1
 2776.2647 18 1
 2881.2184 20 1
 2997.4588 22 1
 3124.9669 24 1
 3263.7217 26 1
 3413.7003 28 1
 3574.8783 30 1
 3747.2291 32 1
 3930.7245 34 1
 4125.3344 36 1
 4331.0267 38 1
 4547.7676 40 1
 4775.5216 42 1
 5014.2511 44 1
 5263.9168 46 1
 5524.4777 48 1
 5795.8906 50 1
 6078.1109 52 1
 6371.0920 54 1
 6674.7853 56 1
 6989.1408 58 1
 7314.1064 60 1
