# c 3
 786.274    0   3
 802.539    2   3
 828.467    4   3
 865.856    6   3
 914.722    8   3
 975.064   10   3
1046.875   12   3
1130.144   14   3
1224.857   16   3
1330.999   18   3
1448.554   20   3
1577.503   22   3
1717.824   24   3
1869.496   26   3
2032.492   28   3
2206.788   30   3
2392.355   32   3
2589.161   34   3
2797.177   36   3
3016.366   38   3
3246.695   40   3
3488.124   42   3
3740.615   44   3
4004.126   46   3
4278.614   48   3
4564.034   50   3
4860.339   52   3
5167.480   54   3
5485.407   56   3
5814.066   58   3
6153.404   60   3
2342.626    0   3
2358.690    2   3
2384.332    4   3
2421.308    6   3
2469.636    8   3
2529.314   10   3
2600.333   12   3
2682.684   14   3
2776.353   16   3
2881.325   18   3
2997.582   20   3
3125.107   22   3
3263.878   24   3
3413.873   26   3
3575.067   28   3
3747.433   30   3
3930.946   32   3
4125.533   34   3
4331.266   36   3
4548.021   38   3
4775.788   40   3
5014.528   42   3
5264.204   44   3
5524.773   46   3
5796.195   48   3
6078.414   50   3
6371.398   52   3
6675.091   54   3
6989.442   56   3
7314.400   58   3
7649.909   60   3
