# x1.0e-3
0  0.00
1  0.01
2  0.05
3  0.15
4  0.33
5  0.63
6  1.06
7  1.60
8  2.21
9  2.86
10 3.48
11 4.05
12 4.51
13 4.86
15 5.08
16 5.16
17 5.05
18 4.86
19 4.61
20 4.32
