3.1588  -0.252222
3.18555  -0.257927
3.21229  -0.263632
3.23903  -0.269337
3.26956  -0.277419
3.30015  -0.282886
3.33073  -0.288591
3.35363  -0.294534
3.38806  -0.300001
3.42248  -0.305467
3.59852  -0.329234
3.64832  -0.333748
3.66363  -0.33565
3.72111  -0.340164
3.78626  -0.344202
3.86295  -0.347526
3.92429  -0.350613
4.01253  -0.352271
4.08926  -0.353931
4.18134  -0.355351
4.27728  -0.355583
4.3694  -0.355339
4.46535  -0.355095
4.55748  -0.354138
4.64579  -0.352467
4.73409  -0.351273
4.82239  -0.350078
4.91069  -0.348407
5.00284  -0.346975
5.09114  -0.345542
5.18328  -0.344347
5.27157  -0.343152
5.36371  -0.342195
5.45584  -0.341238
5.54795  -0.340994
5.64392  -0.340275
5.73987  -0.34003
5.83199  -0.339787
5.92794  -0.33978
6.02006  -0.339299
6.11601  -0.339292
6.20812  -0.339048
6.30407  -0.33928
6.40002  -0.339273
6.49597  -0.339029
