# 6
# wavenum, a0, a1, a2, maxerr, temp(maxerr)
# fit to xsec vs ((T-100)/10)^2
 49045.5  1.753E-11 -3.583E-10  1.311E-08  0.25  130.
 49046.0  1.953E-11 -4.338E-10  1.400E-08  0.29  130.
 49046.5  2.124E-11 -4.648E-10  1.429E-08  0.28  130.
 49047.0  2.416E-11 -5.558E-10  1.548E-08  0.31  130.
 49047.5  2.726E-11 -6.200E-10  1.634E-08  0.32  130.
 49048.0  3.226E-11 -7.667E-10  1.845E-08  0.36  130.
 49048.5  3.802E-11 -8.864E-10  2.037E-08  0.38  130.
 49049.0  4.559E-11 -1.010E-09  2.268E-08  0.38  130.
 49049.5  5.710E-11 -1.199E-09  2.648E-08  0.38  130.
 49050.0  7.430E-11 -1.416E-09  3.223E-08  0.38  130.
 49050.5  1.024E-10 -1.574E-09  4.149E-08  0.35  130.
 49051.0  1.537E-10 -9.962E-10  5.741E-08  0.26  130.
 49051.5  2.821E-10  8.304E-09  8.654E-08  0.10  130.
 49052.0  1.446E-09  2.469E-07  1.013E-08  0.04  130.
 49052.5  1.083E-09 -8.389E-09  3.624E-07  0.30  130.
 49053.0  3.429E-09  1.770E-07  8.652E-07  0.05  130.
 49053.5  2.128E-09 -6.603E-08  6.638E-07  1.33  130.
 49054.0  9.677E-10 -3.078E-08  3.045E-07  1.43  130.
 49054.5  4.154E-10 -1.316E-08  1.400E-07  1.22  130.
 49055.0  2.286E-10 -7.182E-09  8.220E-08  1.03  130.
 49055.5  1.517E-10 -4.814E-09  5.870E-08  0.93  130.
 49056.0  1.139E-10 -3.642E-09  4.655E-08  0.85  130.
 49056.5  9.546E-11 -3.114E-09  4.091E-08  0.84  130.
 49057.0  8.826E-11 -2.934E-09  3.858E-08  0.84  130.
 49057.5  9.070E-11 -3.096E-09  3.973E-08  0.90  130.
 49058.0  1.042E-10 -3.661E-09  4.470E-08  1.04  130.
 49058.5  1.356E-10 -4.870E-09  5.557E-08  1.28  130.
 49059.0  2.053E-10 -7.429E-09  7.801E-08  1.65  130.
 49059.5  3.859E-10 -1.388E-08  1.328E-07  2.21  130.
 49060.0  9.748E-10 -3.440E-08  3.047E-07  3.07  130.
 49060.5  1.847E-09 -6.448E-08  5.720E-07  4.20  130.
 49061.0  1.330E-09 -4.660E-08  4.127E-07  3.66  130.
 49061.5  6.665E-10 -2.380E-08  2.149E-07  2.69  130.
 49062.0  2.838E-10 -1.030E-08  1.022E-07  1.98  130.
 49062.5  1.565E-10 -5.734E-09  6.274E-08  1.48  130.
 49063.0  1.013E-10 -3.720E-09  4.472E-08  1.15  130.
 49063.5  7.270E-11 -2.668E-09  3.510E-08  0.94  130.
 49064.0  5.576E-11 -2.037E-09  2.922E-08  0.79  130.
 49064.5  4.493E-11 -1.632E-09  2.542E-08  0.68  130.
 49065.0  3.753E-11 -1.344E-09  2.260E-08  0.59  130.
 49065.5  3.221E-11 -1.134E-09  2.054E-08  0.52  130.
 49066.0  2.807E-11 -9.623E-10  1.877E-08  0.45  130.
 49066.5  2.559E-11 -8.765E-10  1.808E-08  0.44  130.
 49067.0  2.352E-11 -7.990E-10  1.740E-08  0.41  130.
 49067.5  2.126E-11 -6.867E-10  1.616E-08  0.36  130.
 49068.0  2.025E-11 -6.531E-10  1.593E-08  0.35  130.
 49068.5  1.926E-11 -6.106E-10  1.557E-08  0.33  130.
 49069.0  1.852E-11 -5.770E-10  1.533E-08  0.32  130.
 49069.5  1.794E-11 -5.476E-10  1.507E-08  0.30  130.
 49070.0  1.752E-11 -5.233E-10  1.492E-08  0.29  130.
 49070.5  1.739E-11 -5.156E-10  1.493E-08  0.29  130.
 49071.0  1.730E-11 -5.022E-10  1.488E-08  0.28  130.
 49071.5  1.747E-11 -5.046E-10  1.507E-08  0.28  130.
 49072.0  1.769E-11 -5.035E-10  1.515E-08  0.27  130.
 49072.5  1.810E-11 -5.120E-10  1.540E-08  0.28  130.
 49073.0  1.871E-11 -5.278E-10  1.570E-08  0.28  130.
 49073.5  1.944E-11 -5.459E-10  1.607E-08  0.28  130.
 49074.0  2.042E-11 -5.745E-10  1.657E-08  0.29  130.
 49074.5  2.181E-11 -6.223E-10  1.729E-08  0.31  130.
 49075.0  2.276E-11 -6.261E-10  1.737E-08  0.29  130.
 49075.5  2.448E-11 -6.754E-10  1.812E-08  0.30  130.
 49076.0  2.665E-11 -7.386E-10  1.899E-08  0.32  130.
 49076.5  2.981E-11 -8.536E-10  2.057E-08  0.34  130.
 49077.0  3.305E-11 -9.451E-10  2.173E-08  0.36  130.
 49077.5  3.798E-11 -1.126E-09  2.406E-08  0.40  130.
 49078.0  4.342E-11 -1.280E-09  2.577E-08  0.42  130.
 49078.5  5.084E-11 -1.504E-09  2.827E-08  0.45  130.
 49079.0  6.130E-11 -1.842E-09  3.206E-08  0.49  130.
 49079.5  7.590E-11 -2.309E-09  3.703E-08  0.56  130.
 49080.0  9.839E-11 -3.052E-09  4.465E-08  0.64  130.
 49080.5  1.341E-10 -4.203E-09  5.592E-08  0.74  130.
 49081.0  1.955E-10 -6.139E-09  7.389E-08  0.87  130.
 49081.5  3.206E-10 -1.017E-08  1.104E-07  1.09  130.
 49082.0  6.219E-10 -1.966E-08  1.920E-07  1.37  130.
 49082.5  1.553E-09 -4.865E-08  4.337E-07  1.70  130.
 49083.0  3.132E-09 -9.731E-08  8.336E-07  1.85  130.
 49083.5  2.158E-09 -6.745E-08  5.942E-07  1.75  130.
 49084.0  8.756E-10 -2.744E-08  2.675E-07  1.35  130.
 49084.5  4.209E-10 -1.297E-08  1.488E-07  0.95  130.
 49085.0  2.587E-10 -7.574E-09  1.059E-07  0.67  130.
 49085.5  1.924E-10 -5.241E-09  9.118E-08  0.52  130.
 49086.0  1.647E-10 -3.978E-09  8.767E-08  0.42  130.
 49086.5  1.625E-10 -3.392E-09  9.375E-08  0.36  130.
 49087.0  1.895E-10 -3.685E-09  1.155E-07  0.35  130.
 49087.5  2.556E-10 -4.725E-09  1.558E-07  0.34  130.
 49088.0  4.284E-10 -8.649E-09  2.500E-07  0.37  130.
 49088.5  9.451E-10 -2.213E-08  5.014E-07  0.44  130.
 49089.0  2.456E-09 -6.115E-08  1.236E-06  0.48  130.
 49089.5  2.073E-09  6.517E-08  2.221E-06  0.14  130.
 49090.0 -3.093E-09  2.552E-06  2.061E-05  0.03  130.
 49090.5 -3.415E-09  1.948E-06  1.563E-05  0.02  130.
 49091.0  1.627E-10  6.401E-08  7.582E-07  0.06  130.
 49091.5  1.396E-10  1.472E-08  2.612E-07  0.09  130.
 49092.0  1.022E-10  6.091E-09  1.459E-07  0.11  130.
 49092.5  8.027E-11  2.983E-09  9.980E-08  0.13  130.
 49093.0  6.476E-11  1.669E-09  7.393E-08  0.14  130.
 49093.5  5.436E-11  9.705E-10  5.871E-08  0.15  130.
 49094.0  4.663E-11  5.972E-10  4.870E-08  0.15  130.
 49094.5  4.191E-11  3.001E-10  4.270E-08  0.17  130.
 49095.0  3.786E-11  1.463E-10  3.778E-08  0.17  130.
 49095.5  3.521E-11  1.750E-11  3.458E-08  0.18  130.
 49096.0  3.286E-11 -2.411E-11  3.138E-08  0.17  130.
 49096.5  3.172E-11 -1.125E-10  2.999E-08  0.18  130.
 49097.0  3.037E-11 -1.304E-10  2.827E-08  0.18  130.
 49097.5  2.979E-11 -1.558E-10  2.718E-08  0.18  130.
 49098.0  3.006E-11 -2.127E-10  2.700E-08  0.19  130.
 49098.5  3.016E-11 -2.140E-10  2.643E-08  0.19  130.
 49099.0  3.054E-11 -2.021E-10  2.603E-08  0.18  130.
 49099.5  3.236E-11 -2.649E-10  2.713E-08  0.20  130.
 49100.0  3.331E-11 -2.020E-10  2.684E-08  0.18  130.
 49100.5  3.559E-11 -1.907E-10  2.796E-08  0.18  130.
 49101.0  3.886E-11 -1.692E-10  2.973E-08  0.19  130.
 49101.5  4.252E-11 -5.401E-11  3.142E-08  0.18  130.
 49102.0  4.720E-11  1.358E-10  3.432E-08  0.17  130.
 49102.5  5.262E-11  5.673E-10  3.783E-08  0.15  130.
 49103.0  6.002E-11  1.412E-09  4.390E-08  0.13  130.
 49103.5  6.869E-11  3.514E-09  5.265E-08  0.08  130.
 49104.0  8.330E-11  9.468E-09  7.650E-08  0.05  130.
 49104.5  1.107E-10  4.314E-08  1.893E-07  0.01  130.
 49105.0  4.184E-10  1.055E-06  2.861E-06  0.02  130.
 49105.5  1.958E-10  8.197E-08  3.360E-07  0.01  130.
 49106.0  4.675E-10  3.226E-07  1.003E-06  0.01  130.
 49106.5  4.938E-10  1.714E-09  2.312E-07  0.19  130.
 49107.0  1.039E-09 -2.617E-08  3.427E-07  0.65  130.
 49107.5  2.675E-09 -7.758E-08  7.324E-07  1.22  130.
 49108.0  3.205E-09 -9.345E-08  8.389E-07  1.36  130.
 49108.5  1.534E-09 -4.459E-08  4.205E-07  1.21  130.
 49109.0  6.717E-10 -1.952E-08  2.042E-07  0.99  130.
