# 6
# wavenum, a0, a1, a2, maxerr, temp(maxerr)
# fit to xsec vs ((T-100)/10)^2
 49045.0  6.026E-11 -1.605E-08  1.976E-06  0.03  500.
 49045.5  6.344E-11 -1.592E-08  1.847E-06  0.02  500.
 49046.0  6.708E-11 -1.546E-08  1.638E-06  0.02  500.
 49046.5  7.146E-11 -1.476E-08  1.341E-06  0.01  500.
 49047.0  7.693E-11 -1.397E-08  1.010E-06  0.01  500.
 49047.5  8.394E-11 -1.301E-08  5.833E-07  0.01  460.
 49048.0  9.282E-11 -1.154E-08 -1.452E-08  0.01  300.
 49048.5  1.044E-10 -9.479E-09 -8.251E-07  0.02  300.
 49049.0  1.198E-10 -6.097E-09 -2.075E-06  0.02  300.
 49049.5  1.410E-10 -9.985E-10 -3.877E-06  0.02  300.
 49050.0  1.737E-10  5.183E-09 -6.113E-06  0.03  300.
 49050.5  2.223E-10  1.866E-08 -1.058E-05  0.03  500.
 49051.0  3.068E-10  4.086E-08 -1.764E-05  0.03  500.
 49051.5  4.628E-10  1.034E-07 -3.279E-05  0.04  500.
 49052.0  6.935E-10  7.138E-07 -9.007E-05  0.03  500.
 49052.5  1.940E-09  4.695E-07 -1.607E-04  0.05  500.
 49053.0  4.591E-09  1.687E-06 -4.435E-04  0.05  500.
 49053.5  4.255E-09  1.023E-06 -3.713E-04  0.05  500.
 49054.0  1.992E-09  4.371E-07 -1.647E-04  0.05  500.
 49054.5  8.827E-10  1.533E-07 -6.303E-05  0.04  500.
 49055.0  5.110E-10  6.436E-08 -3.079E-05  0.04  500.
 49055.5  3.597E-10  2.637E-08 -1.740E-05  0.03  300.
 49056.0  2.924E-10  4.152E-09 -1.014E-05  0.03  300.
 49056.5  2.642E-10 -8.250E-09 -6.459E-06  0.02  300.
 49057.0  2.623E-10 -1.745E-08 -4.284E-06  0.02  300.
 49057.5  2.832E-10 -2.311E-08 -3.840E-06  0.02  300.
 49058.0  3.331E-10 -2.501E-08 -5.366E-06  0.02  300.
 49058.5  4.354E-10 -2.405E-08 -9.409E-06  0.03  500.
 49059.0  6.524E-10 -1.443E-08 -1.961E-05  0.03  300.
 49059.5  1.211E-09  1.329E-08 -4.669E-05  0.04  500.
 49060.0  3.034E-09  1.219E-07 -1.390E-04  0.04  500.
 49060.5  5.652E-09  3.442E-07 -2.889E-04  0.04  500.
 49061.0  4.108E-09  2.091E-07 -2.000E-04  0.04  500.
 49061.5  2.111E-09  3.207E-08 -8.397E-05  0.04  500.
 49062.0  9.676E-10 -5.959E-08 -2.007E-05  0.03  300.
 49062.5  6.004E-10 -9.981E-08  3.011E-06  0.01  300.
 49063.0  4.556E-10 -1.265E-07  1.466E-05  0.02  500.
 49063.5  3.988E-10 -1.563E-07  2.409E-05  0.06  500.
 49064.0  3.822E-10 -1.860E-07  3.175E-05  0.10  500.
 49064.5  3.938E-10 -2.224E-07  3.997E-05  0.15  500.
 49065.0  4.309E-10 -2.693E-07  4.974E-05  0.20  500.
 49065.5  4.990E-10 -3.343E-07  6.259E-05  0.27  300.
 49066.0  6.120E-10 -4.293E-07  8.078E-05  0.35  300.
 49066.5  8.009E-10 -5.776E-07  1.085E-04  0.45  300.
 49067.0  1.118E-09 -8.182E-07  1.530E-04  0.56  300.
 49067.5  1.610E-09 -1.183E-06  2.198E-04  0.65  300.
 49068.0  2.084E-09 -1.533E-06  2.834E-04  0.70  300.
 49068.5  2.093E-09 -1.539E-06  2.843E-04  0.71  300.
 49069.0  1.698E-09 -1.249E-06  2.313E-04  0.69  300.
 49069.5  1.213E-09 -8.923E-07  1.660E-04  0.64  300.
 49070.0  8.725E-10 -6.405E-07  1.198E-04  0.58  300.
 49070.5  6.823E-10 -4.991E-07  9.374E-05  0.53  300.
 49071.0  5.938E-10 -4.333E-07  8.162E-05  0.51  300.
 49071.5  5.794E-10 -4.231E-07  7.982E-05  0.51  300.
 49072.0  6.361E-10 -4.665E-07  8.798E-05  0.53  300.
 49072.5  7.869E-10 -5.803E-07  1.091E-04  0.59  300.
 49073.0  1.061E-09 -7.852E-07  1.470E-04  0.66  300.
 49073.5  1.391E-09 -1.031E-06  1.923E-04  0.71  300.
 49074.0  1.512E-09 -1.120E-06  2.088E-04  0.72  300.
 49074.5  1.384E-09 -1.026E-06  1.917E-04  0.70  300.
