  1.693340     15.82510088
  1.799180     12.97395922
  1.905010     10.80050303
  2.010850      9.15627358
  2.116680      7.91623277
  2.328350      6.28984466
  2.450060      5.70847014
  2.540020      5.39171520
  2.651140      5.09907519
  2.751680      4.90403558
  2.852230      4.76094536
  2.963350      4.64645831
  3.048020      4.58238325
  3.175020      4.51377037
  3.386690      4.44830669
  3.704190      4.41060308
  4.127530      4.40235813
  4.339190      4.40357318
  4.656700      4.40663559
  4.974200      4.40963601
  5.291700      4.41095024
